iso3,country_name,year,oil_rents_pct_gdp,natural_resources_rents_pct_gdp,gdp_per_capita_usd,energy_use_kg_oil_eq,electricity_from_oil_pct,merchandise_exports_usd,fdi_inflows_usd,oil_dependency_ratio,is_african
NGA,Nigeria,2021,6.24674969005013,8.55295423830806,2787.48779220991,334.476501487262,0.0416328672997089,46871000000.0,3313210000.0,0.7303616406681324,1
NGA,,2022,,,2899.16047469267,333.698006196423,,63075000000.0,-186792428.930928,,1
NGA,,2023,,,2138.76383718757,319.900429211784,,55182000000.0,1872520530.04694,,1
NGA,,2024,,,1084.16041805058,,,53320000000.0,1614032956.92931,,1
NGA,,2025,,,1224.25410237743,,,55468000000.0,4005360386.61716,,1
TCD,Chad,2012,20.5311950776099,24.7933556227023,,,,,,0.828092630543737,1
TCD,Chad,2013,15.7791942816497,20.0436304196548,,,,,,0.7872423284245258,1
TCD,Chad,2014,11.3679339086533,15.6882203824047,,,,,,0.7246158985249298,1
TCD,Chad,2015,6.2969962979888,11.9712071081449,,217.045899551856,100.0,,,0.5260118082582069,1
TCD,Chad,2016,6.59687876223435,13.110061160108,861.831767630746,212.850289286376,100.0,2090000000.0,244682120.0,0.5031920661291565,1
TCD,Chad,2017,10.2750096848343,16.8846139020106,854.46120040098,203.874468350738,100.0,2621000000.0,363381640.0,0.6085427682542841,1
TCD,Chad,2018,16.6121673665612,20.9399413766231,948.656629871231,199.975861950781,99.6884735202492,2670000000.0,460890510.0,0.7933244447907893,1
TCD,Chad,2019,15.5707595430138,19.6499588651766,893.336441643325,190.100756053018,97.6261127596439,2588000000.0,566638950.0,0.7924067246068436,1
TCD,Chad,2020,9.22817147863275,13.9330901678111,866.947814890409,198.303334598004,97.3451327433628,1808000000.0,557692500.0,0.6623205166612729,1
TCD,Chad,2021,16.7515661611417,21.3429312625159,946.358500208374,203.211499981214,97.3684210526316,2711000000.0,705100760.0,0.7848765455456481,1
TCD,,2022,,,966.036468278568,198.929147409955,97.6,4422000000.0,614018510.0,,1
TCD,,2023,,,949.991054236266,187.874009544708,97.4063400576369,4604000000.0,913332720.0,,1
TCD,,2024,,,980.668312111718,,,4500000000.0,1019486410.0,,1
TCD,,2025,,,1022.33559390754,,,4000000000.0,,,1
USA,United States,2012,0.205925846170308,0.776694501385092,,,,,,0.2651310725170284,0
USA,United States,2013,0.305650080049118,0.750833995599957,,,,,,0.40708076863899456,0
USA,United States,2014,0.292226566231044,0.703153661885122,,,,,,0.415594175315248,0
USA,United States,2015,0.00752518064782254,0.234371770177788,,6789.64733291075,0.89959623910076,,,0.03210787989574915,0
USA,United States,2016,0.0922955001311894,0.303325431060077,57976.628204291,6663.4963294418,0.804227079909987,1451011000000.0,474388000000.0,0.3042788064575741,0
USA,United States,2017,0.162525850896316,0.427546323641111,60047.7190728307,6590.83509745633,0.756130745693151,1546273000000.0,380823000000.0,0.3801362376647231,0
USA,United States,2018,0.319247607054063,0.595678810382377,62875.6661382728,6738.27272433986,0.963474298149812,1663982000000.0,214715000000.0,0.5359391697165327,0
USA,United States,2019,0.368544560120872,0.557098125905551,65227.9565911038,6700.93033990565,0.814935242362971,1643161000000.0,315984000000.0,0.6615433493369068,0
USA,United States,2020,0.187625106322478,0.329505971924439,64465.2971415748,6141.5241450627,0.878160150026655,1424935000000.0,137066000000.0,0.5694133712559949,0
USA,United States,2021,0.61148265568772,1.27994423022721,71441.2319805947,6445.82621225492,0.825775440284035,1754300000000.0,477956000000.0,0.4777416400237785,0
USA,,2022,,,78008.6895811877,6512.09816744798,0.945684535726552,2065157000000.0,416890000000.0,,0
USA,,2023,,,82586.7847707894,6364.46726343838,0.743553284990878,2018059000000.0,361944000000.0,,0
USA,,2024,,,86169.6641581917,6361.4447017904,0.667316546699973,2061691000000.0,297058000000.0,,0
USA,,2025,,,90026.5163005744,,,2185220000000.0,400519000000.0,,0
