country_code,country_name,indicator_id,indicator_name,year,value
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,11.72579956
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,9.326299667
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,7.417900085
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,5.9
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,5.699999809
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,94.69380188
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,93.52559662
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,92.72850037
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,91.2684021
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,90.34470367
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,89.4302848575712
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,88.498903165152
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,87.2748891687657
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,85.5444212887222
USA,United States,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,74.5542024462761
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,17.10099983
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,16.45070076
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,15
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,14.82190037
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,14.64579964
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,14.47189999
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,14.2999970950012
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,12.19999981
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,10.30000019
ZMB,Zambia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,8.8
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,41.64279938
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,38.67480087
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,36.25650024
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,32.5923996
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,29.29856532
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,26.5883007
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,25
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,24.39999962
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,23.12000084
ZWE,Zimbabwe,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,22.74279976
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,33.98379898
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,32.39400101
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,30.53730011
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,28.20470047
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,22.12059975
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,20.50099945
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,19
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,18.7
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,14.5
BEN,Benin,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,11.25500011
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,28.25270081
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,25.36120033
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,25.3987999
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,18.1522007
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,12.97319984
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,9.27180600953186
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,8.498900414
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,7.790400028
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,7.140999794
BFA,Burkina Faso,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,6.545700073
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,41.43219902
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,40.65284979
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,38.41328122
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,35.95069885
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,36.01660156
CIV,Cote d'Ivoire,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,36.2889545655205
