country_code,country_name,year,incidence_per_1000,low,high,parent_region
CMR,CMR,2024,260.4594815,190.286276,349.3959259,Africa
COM,COM,2021,12.87867862,12.87867862,12.87867862,Africa
TGO,TGO,2023,264.7971586,192.527036,353.8538076,Africa
ZAF,ZAF,2024,0.114830867,0.114830867,0.114830867,Africa
MRT,MRT,2018,79.68121244,31.37889796,157.209583,Africa
ERI,ERI,2013,16.03878531,10.22316027,22.68295678,Africa
TZA,TZA,2016,134.0467683,99.57775306,177.3345937,Africa
CMR,CMR,2022,265.0342957,204.6063685,336.9445549,Africa
SWZ,SWZ,2017,1.356793527,1.356793527,1.356793527,Africa
LBR,LBR,2011,299.3768564,224.0637803,393.177491,Africa
MLI,MLI,2021,345.9227287,244.02793,491.9512024,Africa
SSD,SSD,2012,278.3962611,210.4304594,359.7176221,Africa
ETH,ETH,2021,45.55933568,25.25301448,67.99392993,Africa
NER,NER,2014,410.1174189,262.8948102,606.929183,Africa
BDI,BDI,2023,323.249095,207.1595358,487.7931336,Africa
LBR,LBR,2022,181.7909089,130.6558091,247.8364017,Africa
DZA,DZA,2023,0.0,0.0,0.0,Africa
GNB,GNB,2012,126.5544236,63.93074186,226.1733718,Africa
NAM,NAM,2014,14.04706366,11.12703983,17.24827395,Africa
GAB,GAB,2018,186.7259529,130.4318956,259.8404297,Africa
KEN,KEN,2017,76.8492024,55.21773652,104.5301108,Africa
TZA,TZA,2024,136.7250515,97.06692146,188.5383449,Africa
COG,COG,2018,249.7715716,155.3236544,380.8118665,Africa
SLE,SLE,2022,298.1900264,171.8913159,481.7050774,Africa
GAB,GAB,2015,185.3606266,108.8378722,293.2672347,Africa
TGO,TGO,2013,369.590891,301.6231411,448.0258267,Africa
SSD,SSD,2024,254.0781492,152.9694812,390.4269703,Africa
NGA,NGA,2021,299.2711055,217.4433874,407.2521096,Africa
DZA,DZA,2013,0.003545395,0.003545395,0.003545395,Africa
MOZ,MOZ,2015,353.6724564,289.1440929,429.6363892,Africa
MYT,MYT,2010,5.193723703,5.193723703,5.193723703,Africa
MOZ,MOZ,2022,304.5014421,244.4148005,374.7066373,Africa
MLI,MLI,2022,346.2195843,243.8980556,492.2391545,Africa
MDG,MDG,2022,117.0771285,74.86885318,162.5030316,Africa
TGO,TGO,2021,279.5067973,204.6844846,378.1018109,Africa
MRT,MRT,2013,27.1125812,1.620088327,64.88564311,Africa
MWI,MWI,2014,275.0492764,205.0661843,359.2903752,Africa
KEN,KEN,2015,81.79663555,59.78192649,108.6892935,Africa
SWZ,SWZ,2019,0.762794978,0.762794978,0.762794978,Africa
SEN,SEN,2022,38.09999862,30.08006638,46.81492709,Africa
MYT,MYT,2018,0.050563786,0.050563786,0.050563786,Africa
COD,COD,2011,360.232861,287.8369833,447.1753194,Africa
COM,COM,2014,3.096266771,3.096266771,3.096266771,Africa
CMR,CMR,2017,258.9845553,194.6409315,336.7422846,Africa
RWA,RWA,2018,477.5673375,360.7913572,600.5525967,Africa
NAM,NAM,2013,4.387203728,3.48558694,5.383357374,Africa
GMB,GMB,2010,232.8107799,172.6570087,301.9772229,Africa
LBR,LBR,2021,216.0652616,151.951658,303.0931643,Africa
ZWE,ZWE,2020,94.29687221,56.56121918,135.9160272,Africa
CMR,CMR,2019,243.4369903,183.8744994,317.0954521,Africa
COD,COD,2014,297.362933,231.9887451,377.4171433,Africa
TZA,TZA,2013,131.7988925,98.46420196,174.1676789,Africa
DZA,DZA,2019,0.0,0.0,0.0,Africa
CIV,CIV,2021,283.6400432,217.8976139,366.0719397,Africa
TZA,TZA,2021,133.3293979,97.29596155,178.3490318,Africa
ETH,ETH,2019,33.61048632,18.65889904,50.03388344,Africa
ZAF,ZAF,2019,0.809057144,0.809057144,0.809057144,Africa
COG,COG,2012,215.8993345,138.3225379,322.9548988,Africa
BDI,BDI,2017,346.2885562,281.9285912,421.1705191,Africa
SLE,SLE,2016,363.5640182,291.7037295,447.9831348,Africa
STP,STP,2022,17.5426968,17.5426968,17.5426968,Africa
SLE,SLE,2013,396.1229964,319.8211035,487.2156318,Africa
ZAF,ZAF,2014,2.1054116,2.1054116,2.1054116,Africa
RWA,RWA,2015,308.0374762,229.2430225,389.9888634,Africa
ZAF,ZAF,2015,0.874240373,0.874240373,0.874240373,Africa
MWI,MWI,2010,389.8138079,314.8456834,476.9122683,Africa
BWA,BWA,2021,0.67332158,0.514412662,0.937138647,Africa
GMB,GMB,2021,62.48347735,48.66946311,77.91792459,Africa
NGA,NGA,2018,291.073537,228.9833585,367.0693166,Africa
KEN,KEN,2021,88.68703596,58.33939663,129.8524883,Africa
ZAF,ZAF,2011,1.861678039,1.861678039,1.861678039,Africa
CIV,CIV,2010,458.1223177,375.9838719,553.8472698,Africa
GAB,GAB,2024,187.0020335,102.1293341,313.2878204,Africa
CAF,CAF,2016,395.974638,221.7459383,656.3228003,Africa
CAF,CAF,2017,387.4411444,207.4041621,658.1849104,Africa
SWZ,SWZ,2013,2.300906772,2.300906772,2.300906772,Africa
SLE,SLE,2023,284.0818617,158.7094522,473.9283302,Africa
MRT,MRT,2010,36.27552519,2.030690978,80.91135736,Africa
MLI,MLI,2015,381.7113885,270.7481055,541.0357622,Africa
GNQ,GNQ,2012,312.7679297,220.1637169,431.6689512,Africa
MLI,MLI,2023,346.2195915,244.3470588,492.212284,Africa
CAF,CAF,2010,453.1091176,292.4791704,674.2904009,Africa
NAM,NAM,2023,8.238249355,6.537526637,10.09332232,Africa
