country_code,year,deaths_count,low,high,parent_region
MLI,2022,14277.0,11500.0,17900.0,Africa
MOZ,2021,21201.0,13400.0,35300.0,Africa
RWA,2019,3139.0,2970.0,3400.0,Africa
GNB,2019,846.0,730.0,1010.0,Africa
GMB,2019,598.0,570.0,630.0,Africa
COD,2018,77570.0,55300.0,109000.0,Africa
SWZ,2022,4.0,,,Africa
KEN,2011,10091.0,9850.0,10300.0,Africa
SSD,2015,7388.0,4990.0,10800.0,Africa
TCD,2010,13325.0,12200.0,14500.0,Africa
GNQ,2024,769.0,650.0,980.0,Africa
GHA,2021,11373.0,10700.0,12300.0,Africa
ZWE,2023,1627.0,610.0,3130.0,Africa
NER,2018,32934.0,29200.0,37300.0,Africa
TGO,2022,3527.0,2930.0,4350.0,Africa
UGA,2018,15254.0,13800.0,17100.0,Africa
DZA,2011,0.0,,,Africa
TCD,2020,14082.0,10800.0,18600.0,Africa
COD,2019,75254.0,52400.0,109000.0,Africa
ZMB,2018,8046.0,7470.0,8770.0,Africa
TZA,2017,23157.0,22300.0,24100.0,Africa
NGA,2016,171827.0,148000.0,203000.0,Africa
GIN,2018,11592.0,10400.0,13100.0,Africa
BFA,2010,37944.0,34500.0,41700.0,Africa
GAB,2016,397.0,350.0,460.0,Africa
STP,2022,0.0,,,Africa
CPV,2015,0.0,,,Africa
COG,2020,2238.0,1940.0,2790.0,Africa
MDG,2020,10281.0,4090.0,18800.0,Africa
RWA,2015,2996.0,2890.0,3120.0,Africa
COG,2019,2230.0,1940.0,2720.0,Africa
AGO,2023,16169.0,11200.0,25300.0,Africa
ZWE,2013,2211.0,920.0,3940.0,Africa
STP,2018,0.0,,,Africa
BDI,2024,6389.0,5200.0,8440.0,Africa
ZMB,2010,6353.0,6150.0,6590.0,Africa
CAF,2013,4177.0,3710.0,4720.0,Africa
BFA,2019,16283.0,12600.0,21500.0,Africa
NAM,2017,57.0,,,Africa
GHA,2018,11103.0,10700.0,11600.0,Africa
STP,2020,0.0,,,Africa
KEN,2019,10883.0,10600.0,11200.0,Africa
AGO,2021,20493.0,13100.0,33800.0,Africa
ETH,2016,15473.0,3880.0,39100.0,Africa
CIV,2012,15435.0,14300.0,16600.0,Africa
COG,2012,1914.0,1780.0,2060.0,Africa
SEN,2021,1845.0,800.0,3140.0,Africa
TZA,2016,23354.0,22500.0,24300.0,Africa
NGA,2014,165886.0,148000.0,188000.0,Africa
TCD,2011,12758.0,11600.0,13900.0,Africa
SLE,2011,14007.0,13000.0,15000.0,Africa
BDI,2010,4701.0,4400.0,5050.0,Africa
MWI,2010,11179.0,10600.0,11900.0,Africa
TGO,2011,4021.0,3760.0,4310.0,Africa
GMB,2022,626.0,590.0,680.0,Africa
BDI,2020,7289.0,5450.0,10500.0,Africa
